technology,type,design,parameter,year,value,unit,source,note,reference,ref_size_MW,EP_ratio_h
Lithium-Ion-NMC-Energy,electrochemical,,investment,2030,40.16,$/kWh,25,System integration,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2030,48.22,$/kWh,25,EPC,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2030,57.86,$/kWh,25,Project Development,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,investment,2030,21.05,$/kW,25,Grid integration,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,FOM,2030,0.114724,$/kWh-year,25,derived,"0.43 % of SB, =(C38+C39)*0.43/4",10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,FOM,2030,19.386,$/kW-year,25,derived,"30% assumed of power components every 10 years, =(C39)*0.3",10,24
Lithium-Ion-NMC-Energy,electrochemical,,decommissioning,2030,0,$/kWh,25,,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,efficiency,2030,0.919347595,,25,"AC-AC efficiency at transformer level, 0.8452^0.5",p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,,lifetime,2030,13,years,25,,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,lifetime,2030,13,years,25,,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2021,197.7,$/kWh,25,DC storage block,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2021,35.73,$/kWh,25,DC storage BOS,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,investment,2021,73.05,$/kW,25,Power Equipment,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,investment,2021,7.75,$/kW,25,Controll and Communication,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2021,47.33,$/kWh,25,System integration,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2021,56.82,$/kWh,25,EPC,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,investment,2021,68.19,$/kWh,25,Project Development,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,investment,2021,24.81,$/kW,25,Grid integration,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,FOM,2021,0.153639,$/kWh-year,25,derived,0.43 % of SB,10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,FOM,2021,21.915,$/kW-year,25,derived,30% assumed of power components every 10 years,10,24
Lithium-Ion-NMC-Energy,electrochemical,,decommissioning,2021,2.65,$/kWh,25,,p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,bidirectional,efficiency,2021,0.908790405,,25,"AC-AC efficiency at transformer level, 0.8259^0.5",p.24 (p.46),10,24
Lithium-Ion-NMC-Power,electrochemical,,lifetime,2021,16,years,25,,p.24 (p.46),10,24
Lithium-Ion-NMC-Energy,electrochemical,,lifetime,2021,16,years,25,,p.24 (p.46),10,24
Lead-Acid-Energy,electrochemical,,investment,2030,212.58,$/kWh,25,DC storage block,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2030,33.75,$/kWh,25,DC storage BOS,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,investment,2030,117.65,$/kW,25,Power Equipment,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,investment,2030,5.79,$/kW,25,Controll and Communication,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2030,32.36,$/kWh,25,System integration,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2030,35.42,$/kWh,25,EPC,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2030,45.43,$/kWh,25,Project Development,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,investment,2030,21.05,$/kW,25,Grid integration,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,FOM,2030,0.914094,$/kWh-year,25,derived,0.43 % of SB,10,24
Lead-Acid-Power,electrochemical,bidirectional,FOM,2030,35.295,$/kW-year,25,derived,30% assumed of power components every 10 years,10,24
Lead-Acid-Energy,electrochemical,,decommissioning,2030,12.04,$/kWh,25,,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,efficiency,2030,0.883176087,,25,"AC-AC efficiency at transformer level, 0.78^0.5",p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,,lifetime,2030,12,years,25,,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,lifetime,2030,12,years,25,,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2021,225.98,$/kWh,25,DC storage block,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2021,45.2,$/kWh,25,DC storage BOS,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,investment,2021,133,$/kW,25,Power Equipment,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,investment,2021,7.75,$/kW,25,Controll and Communication,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2021,38.14,$/kWh,25,System integration,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2021,41.75,$/kWh,25,EPC,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,investment,2021,53.54,$/kWh,25,Project Development,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,investment,2021,24.81,$/kW,25,Grid integration,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,FOM,2021,0.971714,$/kWh-year,25,derived,0.43 % of SB,10,24
Lead-Acid-Power,electrochemical,bidirectional,FOM,2021,39.9,$/kW-year,25,derived,30% assumed of power components every 10 years,10,24
Lead-Acid-Energy,electrochemical,,decommissioning,2021,16.89,$/kWh,25,,p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,bidirectional,efficiency,2021,0.883176087,,25,"AC-AC efficiency at transformer level, 0.78^0.5",p.33 (p.55),10,24
Lead-Acid-Power,electrochemical,,lifetime,2021,12,years,25,,p.33 (p.55),10,24
Lead-Acid-Energy,electrochemical,,lifetime,2021,12,years,25,,p.33 (p.55),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2030,157.79,$/kWh,25,DC storage block,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2030,28.35,$/kWh,25,DC storage BOS,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,investment,2030,117.65,$/kW,25,Power Equipment,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,investment,2030,5.82,$/kW,25,Controll and Communication,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2030,29.72,$/kWh,25,System integration,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2030,34.2,$/kWh,25,EPC,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2030,39.33,$/kWh,25,Project Development,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,investment,2030,21.21,$/kW,25,Grid integration,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,FOM,2030,0.678497,$/kWh-year,25,derived,0.43 % of SB,10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,FOM,2030,35.295,$/kW-year,25,derived,30% assumed of power components every 10 years,10,24
Vanadium-Redox-Flow-Energy,electrochemical,,decommissioning,2030,19.77,$/kWh,25,,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,efficiency,2030,0.806225775,,25,"AC-AC efficiency at transformer level, 0.65^0.5",p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,,lifetime,2030,12,years,25,,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,lifetime,2030,12,years,25,,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2021,189.83,$/kWh,25,DC storage block,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2021,37.97,$/kWh,25,DC storage BOS,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,investment,2021,133,$/kW,25,Power Equipment,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,investment,2021,7.8,$/kW,25,Controll and Communication,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2021,35.03,$/kWh,25,System integration,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2021,40.3,$/kWh,25,EPC,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,investment,2021,46.35,$/kWh,25,Project Development,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,investment,2021,25,$/kW,25,Grid integration,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,FOM,2021,0.816269,$/kWh-year,25,derived,0.43 % of SB,10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,FOM,2021,39.9,$/kW-year,25,derived,30% assumed of power components every 10 years,10,24
Vanadium-Redox-Flow-Energy,electrochemical,,decommissioning,2021,22.95,$/kWh,25,,p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,bidirectional,efficiency,2021,0.806225775,,25,"AC-AC efficiency at transformer level, 0.65^0.5",p.42 (p.64),10,24
Vanadium-Redox-Flow-Power,electrochemical,,lifetime,2021,12,years,25,,p.42 (p.64),10,24
Vanadium-Redox-Flow-Energy,electrochemical,,lifetime,2021,12,years,25,,p.42 (p.64),10,24
Ni-Zn-Energy,electrochemical,,investment,2030,158,$/kWh,25,DC storage block,"p.59 (p.81), Table 4.14",10,24
Ni-Zn-Energy,electrochemical,,investment,2030,27,$/kWh,25,DC storage BOS,"p.59 (p.81), Table 4.16",10,24
Ni-Zn-Power,electrochemical,bidirectional,investment,2030,64.62,$/kW,25,Power Equipment,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Power,electrochemical,bidirectional,investment,2030,5.78,$/kW,25,Controll and Communication,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,investment,2030,31.67,$/kWh,25,System integration,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,investment,2030,38.03,$/kWh,25,EPC,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,investment,2030,45.64,$/kWh,25,Project Development,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Power,electrochemical,bidirectional,investment,2030,21.05,$/kW,25,Grid integration,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,FOM,2030,0.6794,$/kWh-year,25,derived,0.43 % of SB,10,24
Ni-Zn-Power,electrochemical,bidirectional,FOM,2030,8.5,$/kW-year,25,Table 4.22,30% assumed of power components every 10 years,10,24
Ni-Zn-Energy,electrochemical,,decommissioning,2030,0,$/kWh,25,,p.59 (p.81),10,24
Ni-Zn-Power,electrochemical,bidirectional,efficiency,2030,0.9,,25,"((0.75-0.87)/2)^0.5, mean value of range, efficiency is not RTE but single way AC-store conversion",p.59 (p.81),10,24
Ni-Zn-Power,electrochemical,,lifetime,2030,15,years,25,,p.59 (p.81),10,24
Ni-Zn-Energy,electrochemical,,lifetime,2030,15,years,25,,p.59 (p.81),10,24
Ni-Zn-Energy,electrochemical,,investment,2021,197,$/kWh,25,DC storage block,"p.59 (p.81), Table 4.13",10,24
Ni-Zn-Energy,electrochemical,,investment,2021,30,$/kWh,25,DC storage BOS,"p.59 (p.81), Table 4.15",10,24
Ni-Zn-Power,electrochemical,bidirectional,investment,2021,73.05,$/kW,25,Power Equipment,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Power,electrochemical,bidirectional,investment,2021,7.75,$/kW,25,Controll and Communication,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,investment,2021,41.48,$/kWh,25,System integration,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,investment,2021,49.8,$/kWh,25,EPC,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,investment,2021,59.76,$/kWh,25,Project Development,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Power,electrochemical,bidirectional,investment,2021,24.81,$/kW,25,Grid integration,"p.59 (p.81), same as Li-LFP",10,24
Ni-Zn-Energy,electrochemical,,FOM,2021,0.8471,$/kWh-year,25,derived,0.43 % of SB,10,24
Ni-Zn-Power,electrochemical,bidirectional,FOM,2021,10,$/kW-year,25,Table 4.22,30% assumed of power components every 10 years,10,24
Ni-Zn-Energy,electrochemical,,decommissioning,2021,0,$/kWh,25,,p.59 (p.81),10,24
Ni-Zn-Power,electrochemical,bidirectional,efficiency,2021,0.891627725,,25,"((0.71-0.88)/2)^0.5, mean value of range, efficiency is not RTE but single way AC-store conversion",p.59 (p.81),10,24
Ni-Zn-Power,electrochemical,,lifetime,2021,15,years,25,,p.59 (p.81),10,24
Ni-Zn-Energy,electrochemical,,lifetime,2021,15,years,25,,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2030,277,$/kWh,25,DC storage block,"p.59 (p.81), Table 4.14",10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2030,70,$/kWh,25,DC storage BOS,"p.59 (p.81), Table 4.16",10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,investment,2030,64.62,$/kW,25,Power Equipment,p.59 (p.81),10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,investment,2030,5.78,$/kW,25,Controll and Communication,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2030,31.67,$/kWh,25,System integration,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2030,38.03,$/kWh,25,EPC,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2030,45.64,$/kWh,25,Project Development,p.59 (p.81),10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,investment,2030,21.05,$/kW,25,Grid integration,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,FOM,2030,1.1911,$/kWh-year,25,derived,0.43 % of SB,10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,FOM,2030,36,$/kW-year,25,,"30% assumed of power components every 10 years, Table 4.22",10,24
Zn-Br-Flow-Energy,electrochemical,,decommissioning,2030,0,$/kWh,25,,p.59 (p.81),10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,efficiency,2030,0.830662386,,25,"(0.69)^0.5,  efficiency is not RTE but single way AC-store conversion","p.59 (p.81), Table 4.25, ",10,24
Zn-Br-Flow-Power,electrochemical,,lifetime,2030,10,years,25,,"p.59 (p.81), Table 4.27",10,24
Zn-Br-Flow-Energy,electrochemical,,lifetime,2030,10,years,25,,"p.59 (p.81), Table 4.27",10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2021,346,$/kWh,25,DC storage block,"p.59 (p.81), Table 4.13",10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2021,78,$/kWh,25,DC storage BOS,"p.59 (p.81), Table 4.15",10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,investment,2021,117.65,$/kW,25,Power Equipment,p.59 (p.81),10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,investment,2021,5.82,$/kW,25,Controll and Communication,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2021,29.72,$/kWh,25,System integration,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2021,34.2,$/kWh,25,EPC,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,investment,2021,39.33,$/kWh,25,Project Development,p.59 (p.81),10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,investment,2021,21.21,$/kW,25,Grid integration,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,FOM,2021,1.4878,$/kWh-year,25,derived,0.43 % of SB,10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,FOM,2021,42,$/kW-year,25,,"30% assumed of power components every 10 years, Table 4.22",10,24
Zn-Br-Flow-Energy,electrochemical,,decommissioning,2021,0,$/kWh,25,,p.59 (p.81),10,24
Zn-Br-Flow-Power,electrochemical,bidirectional,efficiency,2021,0.806225775,,25,"(0.65)^0.5,  efficiency is not RTE but single way AC-store conversion","p.59 (p.81), Table 4.25, ",10,24
Zn-Br-Flow-Power,electrochemical,,lifetime,2021,10,years,25,,p.59 (p.81),10,24
Zn-Br-Flow-Energy,electrochemical,,lifetime,2021,10,years,25,,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2030,140,$/kWh,25,DC storage block,"p.59 (p.81), Table 4.14",10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2030,25,$/kWh,25,DC storage BOS,"p.59 (p.81), Table 4.16",10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,investment,2030,117.65,$/kW,25,Power Equipment,p.59 (p.81),10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,investment,2030,5.82,$/kW,25,Controll and Communication,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2030,29.72,$/kWh,25,System integration,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2030,34.2,$/kWh,25,EPC,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2030,39.33,$/kWh,25,Project Development,p.59 (p.81),10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,investment,2030,21.21,$/kW,25,Grid integration,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,FOM,2030,0.602,$/kWh-year,25,derived,0.43 % of SB,10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,FOM,2030,0.43,$/kW-year,25,Table 4.22,30% assumed of power components every 10 years,10,24
Zn-Br-Nonflow-Energy,electrochemical,,decommissioning,2030,0,$/kWh,25,,p.59 (p.81),10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,efficiency,2030,0.888819442,,25," (0.79)^0.5,  efficiency is not RTE but single way AC-store conversion","p.59 (p.81), Table 4.25,",10,24
Zn-Br-Nonflow-Power,electrochemical,,lifetime,2030,15,years,25,,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,lifetime,2030,15,years,25,,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2021,175,$/kWh,25,DC storage block,"p.59 (p.81), Table 4.13",10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2021,28,$/kWh,25,DC storage BOS,"p.59 (p.81), Table 4.15",10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,investment,2021,117.65,$/kW,25,Power Equipment,p.59 (p.81),10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,investment,2021,5.82,$/kW,25,Controll and Communication,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2021,29.72,$/kWh,25,System integration,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2021,34.2,$/kWh,25,EPC,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,investment,2021,39.33,$/kWh,25,Project Development,p.59 (p.81),10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,investment,2021,21.21,$/kW,25,Grid integration,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,FOM,2021,0.7525,$/kWh-year,25,derived,0.43 % of SB,10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,FOM,2021,0.5,$/kW-year,25,,"30% assumed of power components every 10 years, Table 4.22",10,24
Zn-Br-Nonflow-Energy,electrochemical,,decommissioning,2021,0,$/kWh,25,,p.59 (p.81),10,24
Zn-Br-Nonflow-Power,electrochemical,bidirectional,efficiency,2021,0.866025404,,25,"(0.75)^0.5,  efficiency is not RTE but single way AC-store conversion","p.59 (p.81), Table 4.25",10,24
Zn-Br-Nonflow-Power,electrochemical,,lifetime,2021,15,years,25,,p.59 (p.81),10,24
Zn-Br-Nonflow-Energy,electrochemical,,lifetime,2021,15,years,25,,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2030,75.2,$/kWh,25,DC storage block,"p.48 (p.70), text below Table 4.12",10,24
Zn-Air-Energy,electrochemical,,investment,2030,17.1,$/kWh,25,DC storage BOS,"p.48 (p.70), text below Table 4.12",10,24
Zn-Air-Power,electrochemical,bidirectional,investment,2030,117.65,$/kW,25,Power Equipment,p.59 (p.81),10,24
Zn-Air-Power,electrochemical,bidirectional,investment,2030,5.82,$/kW,25,Controll and Communication,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2030,29.72,$/kWh,25,System integration,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2030,34.2,$/kWh,25,EPC,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2030,39.33,$/kWh,25,Project Development,p.59 (p.81),10,24
Zn-Air-Power,electrochemical,bidirectional,investment,2030,21.21,$/kW,25,Grid integration,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,FOM,2030,0.32336,$/kWh-year,25,derived,0.43 % of SB,10,24
Zn-Air-Power,electrochemical,bidirectional,FOM,2030,23,$/kW-year,25,,"30% assumed of power components every 10 years, Table 4.22",10,24
Zn-Air-Energy,electrochemical,,decommissioning,2030,0,$/kWh,25,,p.59 (p.81),10,24
Zn-Air-Power,electrochemical,bidirectional,efficiency,2030,0.793725393,,25,"(0.63)^0.5,  efficiency is not RTE but single way AC-store conversion","p.59 (p.81), Table 4.25, ",10,24
Zn-Air-Power,electrochemical,,lifetime,2030,25,years,25,,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,lifetime,2030,25,years,25,,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2021,94,$/kWh,25,DC storage block,"p.59 (p.81), Table 4.12",10,24
Zn-Air-Energy,electrochemical,,investment,2021,19,$/kWh,25,DC storage BOS,"p.59 (p.81), Table 4.12",10,24
Zn-Air-Power,electrochemical,bidirectional,investment,2021,117.65,$/kW,25,Power Equipment,p.59 (p.81),10,24
Zn-Air-Power,electrochemical,bidirectional,investment,2021,5.82,$/kW,25,Controll and Communication,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2021,29.72,$/kWh,25,System integration,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2021,34.2,$/kWh,25,EPC,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,investment,2021,39.33,$/kWh,25,Project Development,p.59 (p.81),10,24
Zn-Air-Power,electrochemical,bidirectional,investment,2021,21.21,$/kW,25,Grid integration,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,FOM,2021,0.4042,$/kWh-year,25,derived,0.43 % of SB,10,24
Zn-Air-Power,electrochemical,bidirectional,FOM,2021,27,$/kW-year,25,,"30% assumed of power components every 10 years, Table 4.22",10,24
Zn-Air-Energy,electrochemical,,decommissioning,2021,0,$/kWh,25,,p.59 (p.81),10,24
Zn-Air-Power,electrochemical,bidirectional,efficiency,2021,0.768114575,,25,"(0.59)^0.5,  efficiency is not RTE but single way AC-store conversion","p.59 (p.81), Table 4.25,",10,24
Zn-Air-Power,electrochemical,,lifetime,2021,25,years,25,,p.59 (p.81),10,24
Zn-Air-Energy,electrochemical,,lifetime,2021,25,years,25,,p.59 (p.81),10,24
